antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Beer', 'Milk'})","frozenset({'Diaper', 'Bread'})",0.3,0.4,0.2,0.6666666666666667,1.6666666666666667,1.0,0.08000000000000002,1.8000000000000003,0.5714285714285716,0.4000000000000001,0.44444444444444453,0.5833333333333334
"frozenset({'Diaper', 'Bread'})","frozenset({'Beer', 'Milk'})",0.4,0.3,0.2,0.5,1.6666666666666667,1.0,0.08000000000000002,1.4,0.6666666666666669,0.4000000000000001,0.28571428571428575,0.5833333333333334
frozenset({'Coke'}),"frozenset({'Diaper', 'Milk'})",0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'Diaper', 'Bread'})",frozenset({'Beer'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'Diaper', 'Milk'})",frozenset({'Coke'}),0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'Beer'}),"frozenset({'Diaper', 'Bread'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'Beer'}),frozenset({'Diaper'}),0.5,0.7,0.5,1.0,1.4285714285714286,1.0,0.15000000000000002,inf,0.6000000000000001,0.7142857142857143,1.0,0.8571428571428572
frozenset({'Coke'}),frozenset({'Diaper'}),0.4,0.7,0.4,1.0,1.4285714285714286,1.0,0.12000000000000005,inf,0.5000000000000002,0.5714285714285714,1.0,0.7857142857142858
"frozenset({'Coke', 'Milk'})",frozenset({'Diaper'}),0.3,0.7,0.3,1.0,1.4285714285714286,1.0,0.09,inf,0.42857142857142855,0.4285714285714286,1.0,0.7142857142857143
"frozenset({'Bread', 'Beer'})",frozenset({'Diaper'}),0.3,0.7,0.3,1.0,1.4285714285714286,1.0,0.09,inf,0.42857142857142855,0.4285714285714286,1.0,0.7142857142857143
"frozenset({'Beer', 'Milk'})",frozenset({'Diaper'}),0.3,0.7,0.3,1.0,1.4285714285714286,1.0,0.09,inf,0.42857142857142855,0.4285714285714286,1.0,0.7142857142857143
frozenset({'Eggs'}),frozenset({'Bread'}),0.2,0.7,0.2,1.0,1.4285714285714286,1.0,0.060000000000000026,inf,0.3750000000000001,0.28571428571428575,1.0,0.6428571428571429
"frozenset({'Beer', 'Coke'})",frozenset({'Diaper'}),0.2,0.7,0.2,1.0,1.4285714285714286,1.0,0.060000000000000026,inf,0.3750000000000001,0.28571428571428575,1.0,0.6428571428571429
"frozenset({'Bread', 'Beer', 'Milk'})",frozenset({'Diaper'}),0.2,0.7,0.2,1.0,1.4285714285714286,1.0,0.060000000000000026,inf,0.3750000000000001,0.28571428571428575,1.0,0.6428571428571429
frozenset({'Diaper'}),frozenset({'Beer'}),0.7,0.5,0.5,0.7142857142857143,1.4285714285714286,1.0,0.15000000000000002,1.75,1.0,0.7142857142857143,0.4285714285714286,0.8571428571428572
frozenset({'Diaper'}),frozenset({'Coke'}),0.7,0.4,0.4,0.5714285714285715,1.4285714285714286,1.0,0.12000000000000005,1.4000000000000001,1.0000000000000002,0.5714285714285714,0.2857142857142858,0.7857142857142858
