OrderID,Quantity,Price
O1,52,409
O2,93,642
O3,15,543
O4,72,404
O5,61,346
O6,21,1500
O7,83,419
O8,87,499
O9,75,465
O10,75,558
O11,88,310
O12,24,663
O13,3,916
O14,22,679
O15,53,532
O16,2,2000
O17,88,348
O18,30,262
O19,38,616
O20,2,419
O21,64,297
O22,60,367
O23,21,330
O24,33,520
O25,76,587
O26,58,50
O27,22,634
O28,89,613
O29,49,468
O30,91,406
O31,59,273
O32,42,664
O33,92,473
O34,60,438
O35,80,676
O36,15,365
O37,62,625
O38,62,544
O39,47,344
O40,62,488
O41,51,645
O42,55,619
O43,64,724
O44,3,550
O45,51,1005
O46,7,361
O47,21,440
O48,73,490
O49,39,287
O50,18,656
