OrderID,EmployeeID,OrderDate,SalesAmount
1,4,2023-08-25,911.09
2,4,2023-06-16,8284.99
3,4,2023-09-21,2677.49
4,1,2023-05-11,6888.21
5,3,2023-04-30,6402.02
6,1,2023-02-01,6526.66
7,3,2023-03-21,8255.36
8,4,2023-07-02,4014.3
9,2,2023-12-12,9024.61
10,3,2023-04-10,8714.28
11,2,2023-01-20,8180.2
12,4,2023-03-22,695.6
13,4,2023-06-13,4695.83
14,1,2023-01-14,8579.86
15,5,2023-03-23,2888.0
16,5,2023-10-30,5107.08
17,5,2023-06-04,9898.63
18,2,2023-12-11,3596.36
19,1,2023-01-13,6370.34
20,2,2023-05-11,7945.17
21,4,2023-07-12,8691.96
22,5,2023-10-08,6258.46
23,3,2023-01-16,6268.35
24,2,2023-09-25,2429.66
25,3,2023-09-28,1745.25
26,5,2023-08-24,4389.54
27,1,2023-02-15,8530.44
28,3,2023-10-27,9062.22
29,4,2023-10-08,4533.98
30,1,2023-09-29,8459.65
31,4,2023-11-23,1143.26
32,3,2023-09-26,3376.01
33,1,2023-12-17,1141.45
34,3,2023-11-06,4160.41
35,1,2023-10-22,8138.82
36,5,2023-11-22,9305.26
37,2,2023-01-12,7621.89
38,2,2023-03-25,3629.14
39,1,2023-01-24,5596.44
40,4,2023-01-22,8748.45
41,1,2023-04-12,4095.55
42,1,2023-11-12,6403.28
43,2,2023-09-25,5724.52
44,1,2023-05-21,9096.06
45,4,2023-01-08,1273.4
46,4,2023-08-26,5084.74
47,3,2023-12-09,8682.36
48,5,2023-11-25,4804.42
49,4,2023-10-08,9084.55
50,4,2023-03-16,729.66
